Link ID,Start Node,Start Node Eastings,Start Node Northings,Start Node Latitude,Start Node Longitude,End Node,End Node Eastings,End Node Northings,End Node Latitude,End Node Longitude,Region,Road Type
722-50059,722,834038.674,816345.067,22.28599503,114.1552417,50059,833862.7,816441.553,22.28686612,114.153534,HK,MAJOR ROUTE
724-722,724,834148.783,816250.647,22.2851425,114.1563103,722,834038.674,816345.067,22.28599503,114.1552417,HK,URBAN ROAD
752-875,752,835099.22,815634.373,22.27957805,114.1655334,875,834918.334,815759.379,22.28070681,114.1637781,HK,URBAN ROAD
756-752,756,835352.749,815640.774,22.27963601,114.1679935,752,835099.22,815634.373,22.27957805,114.1655334,HK,URBAN ROAD
760-756,760,835602.186,815600.695,22.27927419,114.1704138,756,835352.749,815640.774,22.27963601,114.1679935,HK,URBAN ROAD
762-50078,762,836029.641,815629.493,22.27953436,114.1745615,50078,836298.985,815671.02,22.27990939,114.177175,HK,MAJOR ROUTE
781-50098,781,836585.353,815155.819,22.27525677,114.1799536,50098,836705.363,815357.127,22.27707468,114.1811181,HK,MAJOR ROUTE
786-7861,786,836793.573,815852.754,22.28155049,114.1819742,7861,836714.038,815819.064,22.28124627,114.1812024,HK,URBAN ROAD
787-788,787,836656.904,815755.248,22.28066998,114.180648,788,836606.459,815875.71,22.28175784,114.1801585,HK,MAJOR ROUTE
787-7882,787,836656.904,815755.248,22.28066998,114.180648,7882,836603.538,815878.324,22.28178145,114.1801302,HK,MAJOR ROUTE
787-50179,787,836656.904,815755.248,22.28066998,114.180648,50179,836362.957,815673.882,22.27993524,114.1777957,HK,MAJOR ROUTE
788-868,788,836606.459,815875.71,22.28175784,114.1801585,868,836682.388,815883.302,22.28182638,114.1808953,HK,MAJOR ROUTE
789-7908,789,836748.301,815908.341,22.28205248,114.1815349,7908,836950.758,815938.449,22.28232431,114.1834994,HK,URBAN ROAD
793-877,793,837428.196,816174.589,22.28445655,114.1881324,877,837616.85,816570.66,22.28803318,114.1899633,HK,MAJOR ROUTE
793-7918,793,837434.612,816161.378,22.28433724,114.1881946,7918,837006.391,815940.388,22.2823418,114.1840393,HK,URBAN ROAD
811-818,811,838249.981,817134.408,22.29312356,114.1961078,818,838881.248,817243.884,22.29411136,114.2022339,HK,MAJOR ROUTE
818-821,818,838881.248,817243.884,22.29411136,114.2022339,821,839406.398,817161.385,22.29336546,114.2073299,HK,MAJOR ROUTE
821-50107,821,839406.398,817161.385,22.29336546,114.2073299,50107,839823.434,816928.645,22.29126286,114.2113764,HK,MAJOR ROUTE
868-870,868,836682.388,815883.302,22.28182638,114.1808953,870,836803.159,815997.652,22.282859,114.1820672,HK,MAJOR ROUTE
870-4651,870,836803.159,815997.652,22.282859,114.1820672,4651,836884.007,816087.665,22.28367185,114.1828518,HK,MAJOR ROUTE
875-3402,875,834918.334,815759.379,22.28070681,114.1637781,3402,834754.135,815848.947,22.28151553,114.1621848,HK,URBAN ROAD
877-46498,877,837616.85,816570.66,22.28803318,114.1899633,46498,837982.489,816997.558,22.29188801,114.1935119,HK,MAJOR ROUTE
877-793,877,837626.399,816561.52,22.28795063,114.190056,793,837434.612,816161.378,22.28433724,114.1881946,HK,MAJOR ROUTE
893-4652,893,832738.968,816762.428,22.2897619,114.1426289,4652,833101.677,816778.101,22.28990414,114.1461486,HK,MAJOR ROUTE
896-724,896,834264.546,816083.739,22.28363535,114.1574338,724,834148.783,816250.647,22.2851425,114.1563103,HK,URBAN ROAD
910-931,910,840060.004,816792.715,22.29003483,114.2136717,931,840101.178,816617.612,22.28845345,114.2140709,HK,MAJOR ROUTE
930-931,930,840495.49,816655.752,22.28879695,114.2178973,931,839976.076,816575.425,22.28807274,114.2128568,HK,MAJOR ROUTE
930-9101,930,840495.49,816655.752,22.28879695,114.2178973,9101,840052.115,816777.46,22.28989708,114.2135951,HK,MAJOR ROUTE
931-4650,931,839976.076,816575.425,22.28807274,114.2128568,4650,839919.319,816768.747,22.28981869,114.2123065,HK,MAJOR ROUTE
3006-30069,3006,834913.16,818626.797,22.30660137,114.1637255,30069,834823.46,818955.081,22.3095659,114.1628547,K,URBAN ROAD
3010-888301,3010,835020.456,819072.594,22.31062727,114.1647665,888301,834711.437,818893.39,22.3090087,114.1617675,K,URBAN ROAD
3363-3369,3363,839521.209,820694.514,22.32527154,114.2084512,3369,839269.874,820683.627,22.32517368,114.2060117,K,URBAN ROAD
3368-88810,3368,839344.209,820099.964,22.31990273,114.2067321,88810,839314.866,820127.978,22.32015576,114.2064473,K,MAJOR ROUTE
3369-33691,3369,839269.874,820683.627,22.32517368,114.2060117,33691,839284.825,820586.955,22.32430065,114.2061566,K,URBAN ROAD
3369-3370,3369,839269.874,820683.627,22.32517368,114.2060117,3370,839125.949,820671.968,22.32506864,114.2046146,K,URBAN ROAD
3370-34211,3370,839125.949,820671.968,22.32506864,114.2046146,34211,838961.948,820481.832,22.32335186,114.2030225,K,URBAN ROAD
3393-88817,3393,838680.921,821720.124,22.33453478,114.2002966,88817,839074.865,821794.406,22.33520499,114.2041208,K,MAJOR ROUTE
3395-3393,3395,838185.484,821426.384,22.33188276,114.1954871,3393,838680.921,821720.124,22.33453478,114.2002966,K,MAJOR ROUTE
3402-8979,3402,834754.135,815848.947,22.28151553,114.1621848,8979,834575.127,815899.799,22.28197459,114.1604478,HK,URBAN ROAD
3417-3681,3417,837789.141,821018.42,22.32819901,114.1916394,3681,837968.472,821192.37,22.32976971,114.1933803,K,URBAN ROAD
3419-3417,3419,837531.387,820885.152,22.32699573,114.1891374,3417,837789.141,821018.42,22.32819901,114.1916394,K,URBAN ROAD
3450-34502,3450,837010.873,818912.021,22.30917749,114.1840841,34502,836989.173,818891.055,22.30898816,114.1838735,K,URBAN ROAD
3453-46312,3453,836694.153,818344.939,22.3040565,114.1810101,46312,836633.89,818130.091,22.3021163,114.1804252,K,MAJOR ROUTE
3457-3664,3457,836587.973,817767.834,22.29884491,114.1799795,3664,836446.718,817636.666,22.2976604,114.1786087,K,MAJOR ROUTE
3458-88819,3458,836100.641,817358.907,22.29515207,114.1752503,88819,835948.908,817311.201,22.29472123,114.1737778,K,URBAN ROAD
3459-3615,3459,835807.883,817301.615,22.29463463,114.1724093,3615,835632.686,817301.908,22.29463722,114.1707091,K,URBAN ROAD
3460-78201,3460,835579.522,817480.928,22.29625387,114.1701931,78201,835418.623,817893.881,22.29998301,114.1686315,K,URBAN ROAD
3470-3006,3470,834889.426,818187.326,22.30263266,114.1634956,3006,834913.16,818626.797,22.30660137,114.1637255,K,URBAN ROAD
3480-88818,3480,836458.317,818948.326,22.30950549,114.1787214,88818,836976.843,818412.791,22.30466915,114.1837536,K,URBAN ROAD
3480-888302,3480,836458.317,818948.326,22.30950549,114.1787214,888302,836661.066,818660.839,22.30690928,114.1806891,K,MAJOR ROUTE
3483-88825,3483,836440.024,819826.139,22.31743267,114.178544,88825,836306.663,819564.477,22.31506972,114.1772496,K,MAJOR ROUTE
3484-4640,3484,836273.929,819369.685,22.31331063,114.1769319,4640,836269.025,819339.592,22.31303887,114.1768843,K,MAJOR ROUTE
3488-3489,3488,836967.085,820564.744,22.32410258,114.1836599,3489,837168.318,820663.995,22.32499878,114.1856132,K,URBAN ROAD
3489-88816,3489,837168.318,820663.995,22.32499878,114.1856132,88816,837353.75,820779.14,22.3260385,114.1874131,K,URBAN ROAD
3491-3010,3491,835320.029,818933.626,22.3093725,114.167674,3010,835020.456,819072.594,22.31062727,114.1647665,K,URBAN ROAD
3498-3499,3498,835269.643,819039.869,22.31033191,114.167185,3499,835203.267,819239.124,22.31213126,114.1665406,K,URBAN ROAD
3499-88822,3499,835203.267,819239.124,22.31213126,114.1665406,88822,835098.871,819181.09,22.31160711,114.1655275,K,URBAN ROAD
3500-3499,3500,835453.715,819296.604,22.31265047,114.1689713,3499,835203.267,819239.124,22.31213126,114.1665406,K,URBAN ROAD
3502-3500,3502,835629.414,819329.703,22.31294945,114.1706765,3500,835453.715,819296.604,22.31265047,114.1689713,K,URBAN ROAD
3503-3502,3503,835971.906,819718.872,22.31646397,114.1740005,3502,835629.414,819329.703,22.31294945,114.1706765,K,URBAN ROAD
3504-888231,3504,836128.396,819945.362,22.31850933,114.1755194,888231,836009.355,819775.102,22.31697177,114.174364,K,URBAN ROAD
3505-3504,3505,836334.997,820230.44,22.32108376,114.1775246,3504,836128.396,819945.362,22.31850933,114.1755194,K,URBAN ROAD
3506-3483,3506,836482.181,819918.657,22.31826816,114.1789532,3483,836440.024,819826.139,22.31743267,114.178544,K,MAJOR ROUTE
3615-3460,3615,835632.686,817301.908,22.29463722,114.1707091,3460,835579.522,817480.928,22.29625387,114.1701931,K,URBAN ROAD
3632-46322,3632,842224.694,818075.31,22.30161132,114.2346825,46322,842034.07,817933.434,22.30033074,114.232832,K,MAJOR ROUTE
3633-3632,3633,842093.024,818642.008,22.3067294,114.2334068,3632,842224.694,818075.31,22.30161132,114.2346825,K,MAJOR ROUTE
3637-888151,3637,841500.294,818838.784,22.30850831,114.2276549,888151,842053.671,818696.967,22.30722585,114.233025,K,MAJOR ROUTE
3639-88814,3639,840935.412,818601.61,22.30636811,114.2221719,88814,841123.667,818587.958,22.3062443,114.2239989,K,MAJOR ROUTE
3643-88813,3643,839537.601,819872.588,22.31784903,114.2086087,88813,839988.562,819731.898,22.3165776,114.2129853,K,MAJOR ROUTE
3644-3690,3644,839174.133,821171.9,22.32958324,114.2050832,3690,839111.955,820458.628,22.32314208,114.2044784,K,MAJOR ROUTE
3651-4632,3651,841880.892,817878.688,22.29983686,114.2313453,4632,842015.881,817960.926,22.30057908,114.2326556,HK,MAJOR ROUTE
3664-3458,3664,836446.718,817636.666,22.2976604,114.1786087,3458,836100.641,817358.907,22.29515207,114.1752503,K,URBAN ROAD
3681-3395,3681,837968.472,821192.37,22.32976971,114.1933803,3395,838185.484,821426.384,22.33188276,114.1954871,K,URBAN ROAD
3690-3643,3690,839111.955,820458.628,22.32314208,114.2044784,3643,839537.601,819872.588,22.31784903,114.2086087,K,MAJOR ROUTE
3692-46332,3692,834538.393,818512.558,22.30556939,114.1600885,46332,834395.219,818269.104,22.3033707,114.1586993,K,MAJOR ROUTE
3715-3457,3715,837030.317,817998.638,22.30092907,114.1842724,3457,836587.973,817767.834,22.29884491,114.1799795,K,MAJOR ROUTE
4640-4643,4640,836269.025,819339.592,22.31303887,114.1768843,4643,836380.592,819078.673,22.31068261,114.1779671,K,MAJOR ROUTE
4643-3480,4643,836380.592,819078.673,22.31068261,114.1779671,3480,836458.317,818948.326,22.30950549,114.1787214,K,MAJOR ROUTE
4644-88801,4644,835228.606,819561.765,22.31504492,114.1667863,88801,835232.243,819528.557,22.31474503,114.1668217,K,MAJOR ROUTE
4646-88806,4646,836422.941,820573.545,22.3241822,114.1783783,88806,836421.253,820544.801,22.32392262,114.1783619,K,URBAN ROAD
4647-46478,4647,836609.24,814749.535,22.27158776,114.1801853,46478,836600.096,814778.361,22.27184808,114.1800966,HK,MAJOR ROUTE
4648-46488,4648,835776.133,815604.834,22.27931162,114.1721017,46488,835804.774,815605.457,22.27931726,114.1723796,HK,MAJOR ROUTE
4649-46497,4649,838019.353,817012.047,22.29201882,114.1938696,46497,837992.283,816985.248,22.29177683,114.1936069,HK,MAJOR ROUTE
4649-46499,4649,838010.672,817025.768,22.29214274,114.1937854,46499,838040.608,817047.877,22.29234236,114.1940759,HK,MAJOR ROUTE
4650-3651,4650,839919.319,816768.747,22.28981869,114.2123065,3651,841880.892,817878.688,22.29983686,114.2313453,HK,MAJOR ROUTE
4651-4631,4651,836884.007,816087.665,22.28367185,114.1828518,4631,836599.836,818132.347,22.30213668,114.1800947,HK,MAJOR ROUTE
4652-4633,4652,833101.677,816778.101,22.28990414,114.1461486,4633,834364.207,818290.731,22.30356597,114.1583983,HK,MAJOR ROUTE
5011-50119,5011,840851.058,816261.521,22.28523589,114.2213465,50119,840850.736,816287.253,22.28546827,114.2213435,HK,MAJOR ROUTE
7861-7871,7861,836714.038,815819.064,22.28124627,114.1812024,7871,836643.102,815784.132,22.28093082,114.1805141,HK,URBAN ROAD
7861-50179,7861,836714.038,815819.064,22.28124627,114.1812024,50179,836362.957,815673.882,22.27993524,114.1777957,HK,URBAN ROAD
7871-7881,7871,836643.102,815784.132,22.28093082,114.1805141,7881,836592.753,815897.731,22.28195671,114.1800256,HK,URBAN ROAD
7881-870,7881,836592.753,815897.731,22.28195671,114.1800256,870,836803.159,815997.652,22.282859,114.1820672,HK,MAJOR ROUTE
7891-789,7881,836701.913,815918.062,22.28214028,114.1810848,789,836748.301,815908.341,22.28205248,114.1815349,HK,MAJOR ROUTE
7882-7891,7882,836603.538,815878.324,22.28178145,114.1801302,7891,836701.913,815918.062,22.28214028,114.1810848,HK,MAJOR ROUTE
7883-7891,7883,836596.707,815890.625,22.28189253,114.1800639,7891,836701.913,815918.062,22.28214028,114.1810848,HK,MAJOR ROUTE
7908-7909,7908,836950.758,815938.449,22.28232431,114.1834994,7909,837000.797,815961.774,22.28253493,114.183985,HK,URBAN ROAD
7909-793,7909,837000.797,815961.774,22.28253493,114.183985,793,837428.196,816174.589,22.28445655,114.1881324,HK,URBAN ROAD
7918-7919,7918,837006.391,815940.388,22.2823418,114.1840393,7919,836956.857,815917.381,22.28213405,114.1835586,HK,URBAN ROAD
7919-786,7919,836956.857,815917.381,22.28213405,114.1835586,786,836793.573,815852.754,22.28155049,114.1819742,HK,URBAN ROAD
8111-46495,8111,838254.2,817119.959,22.29299308,114.1961487,46495,838048.299,817035.81,22.29223338,114.1941505,HK,MAJOR ROUTE
8182-8111,8182,838886.659,817228.946,22.29397645,114.2022864,8111,838254.2,817119.959,22.29299308,114.1961487,HK,MAJOR ROUTE
8212-8182,8212,839401.015,817147.538,22.29324043,114.2072776,8182,838886.659,817228.946,22.29397645,114.2022864,HK,MAJOR ROUTE
8978-896,8978,834523.708,815916.074,22.28212151,114.1599488,896,834264.546,816083.739,22.28363535,114.1574338,HK,URBAN ROAD
8979-8978,8979,834575.127,815899.799,22.28197459,114.1604478,8978,834523.708,815916.074,22.28212151,114.1599488,HK,URBAN ROAD
9101-50108,9101,840052.115,816777.46,22.28989708,114.2135951,50108,839863.478,816886.033,22.29087797,114.2117649,HK,MAJOR ROUTE
30069-888301,30069,834823.46,818955.081,22.3095659,114.1628547,888301,834711.437,818893.39,22.3090087,114.1617675,K,URBAN ROAD
33671-3363,33671,839539.341,820612.792,22.32453351,114.2086271,3363,839521.209,820694.514,22.32527154,114.2084512,K,URBAN ROAD
33681-3643,33681,839352.89,820107.684,22.31997243,114.2068163,3643,839537.601,819872.588,22.31784903,114.2086087,K,MAJOR ROUTE
33691-33671,33691,839284.825,820586.955,22.32430065,114.2061566,33671,839539.341,820612.792,22.32453351,114.2086271,K,URBAN ROAD
33701-3369,33701,839125.854,820681.893,22.32515827,114.2046137,3369,839269.874,820683.627,22.32517368,114.2060117,K,URBAN ROAD
34211-33681,34211,838961.948,820481.832,22.32335186,114.2030225,33681,839352.89,820107.684,22.31997243,114.2068163,K,MAJOR ROUTE
34212-34213,34212,839032.263,820399.522,22.32260844,114.2037048,34213,838795.019,820547.703,22.32394697,114.2014023,K,MAJOR ROUTE
34212-33701,34212,839032.263,820399.522,22.32260844,114.2037048,33701,839125.854,820681.893,22.32515827,114.2046137,K,URBAN ROAD
34213-34222,34213,838795.019,820547.703,22.32394697,114.2014023,34222,837777.736,820479.786,22.32333484,114.1915282,K,MAJOR ROUTE
34214-34211,34214,838796.309,820560.136,22.32405925,114.2014149,34211,838961.948,820481.832,22.32335186,114.2030225,K,MAJOR ROUTE
34221-34214,34221,837768.505,820483.126,22.32336501,114.1914386,34214,838796.309,820560.136,22.32405925,114.2014149,K,MAJOR ROUTE
34222-888241,34222,837777.736,820479.786,22.32333484,114.1915282,888241,837675.498,820244.302,22.32120836,114.1905357,K,MAJOR ROUTE
34371-88821,34371,837346.446,819464.44,22.31416598,114.1873413,88821,837650.4,820182.864,22.32065356,114.190292,K,MAJOR ROUTE
34372-3450,34372,837354.848,819455.342,22.31408382,114.1874229,3450,837010.873,818912.021,22.30917749,114.1840841,K,MAJOR ROUTE
34481-34371,34481,837004.89,818935.405,22.30938866,114.1840261,34371,837346.446,819464.44,22.31416598,114.1873413,K,MAJOR ROUTE
34501-34481,34501,836830.285,818807.735,22.30823579,114.1823314,34481,837004.89,818935.405,22.30938866,114.1840261,K,URBAN ROAD
34502-88812,34502,836989.173,818891.055,22.30898816,114.1838735,88812,836747.719,818732.879,22.30755982,114.1815301,K,URBAN ROAD
34551-34554,34551,836573.237,818583.439,22.30621033,114.1798367,34554,836683.275,818691.309,22.30718443,114.1809047,K,URBAN ROAD
34552-88803,34552,836588.377,818563.869,22.30603359,114.1799836,88803,836458.943,818526.587,22.30569693,114.1787275,K,URBAN ROAD
34554-34501,34554,836683.275,818691.309,22.30718443,114.1809047,34501,836830.285,818807.735,22.30823579,114.1823314,K,URBAN ROAD
34554-888302,34554,836683.275,818691.309,22.30718443,114.1809047,888302,836661.066,818660.839,22.30690928,114.1806891,K,URBAN ROAD
34781-36662,34781,836398.307,818543.592,22.30585051,114.178139,36662,835997.232,818679.961,22.30708198,114.1742465,K,URBAN ROAD
34783-88805,34783,836432.903,818548.685,22.30589649,114.1784747,88805,836463.722,818544.811,22.30586151,114.1787738,K,URBAN ROAD
34982-36661,34982,835297.849,819038.497,22.31031953,114.1674587,36661,836000.337,818685.152,22.30712886,114.1742767,K,URBAN ROAD
35071-3488,35071,836398.278,820324.278,22.32193117,114.1781389,3488,836967.085,820564.744,22.32410258,114.1836599,K,URBAN ROAD
35071-3505,35071,836398.278,820324.278,22.32193117,114.1781389,3505,836334.997,820230.44,22.32108376,114.1775246,K,URBAN ROAD
36511-46502,36511,841899.095,817854.503,22.2996184,114.2315219,46502,839931.964,816756.4,22.28970716,114.2124292,K,MAJOR ROUTE
36661-34783,36661,836000.337,818685.152,22.30712886,114.1742767,34783,836432.903,818548.685,22.30589649,114.1784747,K,URBAN ROAD
36662-3498,36662,835997.232,818679.961,22.30708198,114.1742465,3498,835269.643,819039.869,22.31033191,114.167185,K,URBAN ROAD
36821-3491,36821,835268.36,819250.732,22.31223613,114.1671724,3491,835320.029,818933.626,22.3093725,114.167674,K,URBAN ROAD
36821-34982,36821,835268.36,819250.732,22.31223613,114.1671724,34982,835297.849,819038.497,22.31031953,114.1674587,K,MAJOR ROUTE
46312-46319,46312,836633.89,818130.091,22.3021163,114.1804252,46319,836650.693,817917.971,22.30020073,114.1805883,K,MAJOR ROUTE
46319-46512,46319,836650.693,817917.971,22.30020073,114.1805883,46512,836893.978,816083.846,22.28363736,114.1829485,K,MAJOR ROUTE
46322-36511,46322,842034.07,817933.434,22.30033074,114.232832,36511,841899.095,817854.503,22.2996184,114.2315219,K,MAJOR ROUTE
46332-46522,46332,833112.038,816768.056,22.28981344,114.1462491,46522,834395.219,818269.104,22.3033707,114.1586993,K,MAJOR ROUTE
46478-46479,46478,836600.096,814778.361,22.27184808,114.1800966,46479,836538.931,814955.598,22.27344865,114.1795031,HK,MAJOR ROUTE
46479-781,46479,836538.931,814955.598,22.27344865,114.1795031,781,836585.353,815155.819,22.27525677,114.1799536,HK,MAJOR ROUTE
46488-762,46488,835804.774,815605.457,22.27931726,114.1723796,762,836029.641,815629.493,22.27953436,114.1745615,HK,MAJOR ROUTE
46495-4649,46495,838048.299,817035.81,22.29223338,114.1941505,4649,838019.353,817012.047,22.29201882,114.1938696,HK,MAJOR ROUTE
46497-877,46497,837992.283,816985.248,22.29177683,114.1936069,877,837626.399,816561.52,22.28795063,114.190056,HK,MAJOR ROUTE
46498-4649,46498,837982.489,816997.558,22.29188801,114.1935119,4649,838010.672,817025.768,22.29214274,114.1937854,HK,MAJOR ROUTE
46499-811,46499,838040.608,817047.877,22.29234236,114.1940759,811,838249.981,817134.408,22.29312356,114.1961078,HK,MAJOR ROUTE
50018-760,50018,835747.625,815588.61,22.2791651,114.1718251,760,835602.186,815600.695,22.27927419,114.1704138,HK,MAJOR ROUTE
50019-50018,50019,835803.901,815589.008,22.27916871,114.1723711,50018,835747.625,815588.61,22.2791651,114.1718251,HK,MAJOR ROUTE
50045-50049,50045,833566.611,816541.012,22.28776386,114.1506607,50049,833323.351,816607.564,22.28836447,114.1483,HK,MAJOR ROUTE
50048-893,50048,833272.432,816617.227,22.28845165,114.1478059,893,832738.968,816762.428,22.2897619,114.1426289,HK,MAJOR ROUTE
50049-50048,50049,833323.351,816607.564,22.28836447,114.1483,50048,833272.432,816617.227,22.28845165,114.1478059,HK,MAJOR ROUTE
50058-50045,50058,833814.842,816458.312,22.2870174,114.1530696,50045,833566.611,816541.012,22.28776386,114.1506607,HK,MAJOR ROUTE
50059-50058,50059,833862.7,816441.553,22.28686612,114.153534,50058,833814.842,816458.312,22.2870174,114.1530696,HK,MAJOR ROUTE
50076-7881,50076,836551.318,815844.419,22.28147527,114.1796235,7881,836592.753,815897.731,22.28195671,114.1800256,HK,MAJOR ROUTE
50076-7883,50076,836551.318,815844.419,22.28147527,114.1796235,7883,836596.707,815890.625,22.28189253,114.1800639,HK,MAJOR ROUTE
50078-50079,50078,836298.985,815671.02,22.27990939,114.177175,50079,836349.024,815690.857,22.28008853,114.1776605,HK,MAJOR ROUTE
50079-50076,50079,836349.205,815690.862,22.28008858,114.1776623,50076,836551.318,815844.419,22.28147527,114.1796235,HK,MAJOR ROUTE
50098-50099,50098,836705.363,815357.127,22.27707468,114.1811181,50099,836708.043,815420.557,22.27764749,114.1811441,HK,MAJOR ROUTE
50099-787,50099,836708.043,815420.557,22.27764749,114.1811441,787,836656.904,815755.248,22.28066998,114.180648,HK,MAJOR ROUTE
50106-8212,50106,839816.873,816917.947,22.29116627,114.2113127,8212,839401.015,817147.538,22.29324043,114.2072776,HK,MAJOR ROUTE
50107-50109,50107,839823.434,816928.645,22.29126286,114.2113764,50109,839875.054,816894.55,22.29095486,114.2118772,HK,MAJOR ROUTE
